mission_ql,low_id,high_id,observed_item_ql,unknown,item_name,observation_count
25,23314,23316,25,0,Simple First-Aid Kit,1
25,26207,26207,27,0,Nano Crystal (Enhanced Senses),2
25,27381,27381,1,0,Omni-Med Suit Gloves,1
25,27383,27383,1,0,Omni-Med Suit Shirt,2
25,27387,27387,1,0,Omni-Med Female Suit Shirt,2
25,28754,28754,27,0,Nano Crystal (Biotoxin MK I),1
25,28787,28787,33,0,Nano Crystal (Specialist Treatment),1
25,28789,28789,30,0,Nano Crystal (Superior Healing),1
25,28798,28798,33,0,Nano Crystal (Blight),1
25,28917,28917,24,0,Nano Crystal (Bad Blood),1
25,28921,28921,33,0,Nano Crystal (Dirty Fighter),4
25,28935,28935,27,0,Nano Crystal (Give Energy: 50),3
25,28939,28939,27,0,Nano Crystal (Give Life: 50),1
25,28945,28945,17,0,Nano Crystal (Limbo Mastery),1
25,28956,28956,24,0,Nano Crystal (Rubber Skin),1
25,29195,29195,20,0,Nano Crystal (Crowbar Subtlety),3
25,29356,29356,17,0,Nano Crystal (Persistent Damage Multiplier),1
25,29358,29358,24,0,Nano Crystal (Pistol Mastery),6
25,29804,29804,27,0,Nano Crystal (Glowing Retribution),1
25,29806,29806,30,0,Nano Crystal (Headcracker),2
25,30758,30758,27,0,Nano Crystal (Apprentice: Field Quantum Physics),1
25,31500,31500,1,0,Grey Cloak,3
25,31503,31503,1,0,Blue Cloak,3
25,31505,31505,1,0,Black Trenchcoat,3
25,31506,31506,1,0,Black Omni-Tek Commander Cloak,4
25,31515,31515,1,0,Red Omni-Tek Commander Cloak,1
25,31516,31516,1,0,Trenchcoat,3
25,31517,31517,1,0,Black Cloak,3
25,31528,31528,1,0,Red Cloak Hood,1
25,31530,31530,1,0,Grey Cloak Hood,3
25,31531,31531,1,0,Green Cloak Hood,1
25,31532,31532,1,0,Brown Cloak Hood,2
25,31533,31533,1,0,Blue Cloak Hood,2
25,31534,31534,1,0,Black Cloak Hood,1
25,32071,32071,17,0,Nano Crystal (False Profession: Adventurer),1
25,32073,32073,33,0,Nano Crystal (False Profession: Bureaucrat),2
25,32074,32074,30,0,Nano Crystal (False Profession: Doctor),1
25,32075,32075,20,0,Nano Crystal (False Profession: Engineer),2
25,32080,32080,24,0,Nano Crystal (False Profession: Fixer),4
25,32081,32081,27,0,Nano Crystal (False Profession: Trader),2
25,32103,32103,20,0,Nano Crystal (Shadow Crown),1
25,36778,36786,25,0,4 - 7 NCU Memory,1
25,42544,42544,20,0,Nano Crystal (Halon Cloud),1
25,42545,42545,17,0,Nano Crystal (Deep Slash),3
25,42546,42546,17,0,Nano Crystal (Molecule Lance),1
25,43552,43551,25,0,Portable Surgery Clinic,1
25,43780,43780,14,0,Nano Crystal (Summon Fury Externalization),1
25,43930,43930,20,0,Nano Crystal (Team Field Dressings),2
25,43942,43942,27,0,Nano Crystal (Spreading Health),1
