mission_ql,mission_type,mission_icon,offer_count
25,FIND_ITEM,11337,750
25,FIND_PERSON,11335,250
25,RETURN_ITEM,11329,250
27,FIND_ITEM,11337,750
27,FIND_PERSON,11335,250
27,RETURN_ITEM,11329,250
29,FIND_ITEM,11337,750
29,FIND_PERSON,11335,250
29,RETURN_ITEM,11329,250
31,FIND_ITEM,11337,750
31,FIND_PERSON,11335,250
31,RETURN_ITEM,11329,250
33,FIND_ITEM,11337,750
33,FIND_PERSON,11335,250
33,RETURN_ITEM,11329,250
37,FIND_ITEM,11337,750
37,FIND_PERSON,11335,250
37,RETURN_ITEM,11329,250
40,FIND_ITEM,11337,750
40,FIND_PERSON,11335,250
40,RETURN_ITEM,11329,250
44,FIND_ITEM,11337,750
44,FIND_PERSON,11335,250
44,RETURN_ITEM,11329,250
48,FIND_ITEM,11337,750
48,FIND_PERSON,11335,250
48,RETURN_ITEM,11329,250
55,FIND_ITEM,11337,750
55,FIND_PERSON,11335,250
55,RETURN_ITEM,11329,250
66,FIND_ITEM,11337,750
66,FIND_PERSON,11335,250
66,RETURN_ITEM,11329,250
