session_id,mission_ql,difficulty_position,repair_offers,return_item_offers,kill_person_offers,events_sha256
mission-20260903T082608467Z-32279304-0a5ddb26,25,1,3,1,1,ed88d6c92280c541287fdd409ef163232a36240c6957eb3465cbe2f57591df72
mission-20260903T082616687Z-32279304-ee0ee732,27,2,3,1,1,5a1e3a5fcd177162c5afe7940492486affba521d39d30b0c7dceaa995ae5b265
mission-20260903T082621833Z-32279304-2da9e304,29,3,3,1,1,d4d5aef29b17b9182ae63ddea9802b05a88f654ffa2f34223198c9d15eb8a812
mission-20260903T082628685Z-32279304-952e913e,31,4,3,1,1,67d9fd571eef7fdf55a416a285621ac4d9bf32fc1b8cdb3d0077defa9edb05e4
mission-20260903T082634820Z-32279304-2dacbfc2,33,5,3,1,1,8155942548317d8cdc91aefc600cbc3a29e4d1d67e285f22dac259cf2e31b15d
mission-20260903T082640488Z-32279304-e689cdfb,37,6,3,1,1,bc7975faebc34913eb4b5cfc013c7a722b7e7510d5e4f47842f964873b9d960e
mission-20260903T082646836Z-32279304-115767ae,40,7,3,1,1,a5efc2918655b49d1d6915c01741f5d067ce261f21d3b8ec0fdb4f0188eb4a33
mission-20260903T082652805Z-32279304-692882b1,44,8,3,1,1,fba2cc70b8278bd9061a7e256a01c967046f837ce0adac8cc244b42ab4457a0f
mission-20260903T082658280Z-32279304-eda2ddb3,48,9,3,1,1,0d0f2d3b44a30970aa038087ed757fd661422076ea851313962eca5b869662a7
mission-20260903T082703285Z-32279304-90a51719,55,10,3,1,1,1974e2d0053883824ff69c51319bf135c7d8fb4e92facdf283c7ead5be72acfa
mission-20260903T082708308Z-32279304-2c5dd802,66,11,3,1,1,608870a8f987dd13d4bbad9f195320e340f01ac896fec24c6654a33185daf02c
