mission_ql,playfield_id,playfield_name,offer_count
25,635,Stret East Bank,92
25,670,Clondyke,489
25,685,Galway County,142
25,695,Lush Fields,480
25,696,Mutant Domain,47
27,635,Stret East Bank,55
27,655,Andromeda,186
27,670,Clondyke,181
27,685,Galway County,131
27,687,Galway Shire,55
27,695,Lush Fields,165
27,696,Mutant Domain,123
27,710,Omni-1 Trade,197
27,760,4 Holes,157
29,635,Stret East Bank,45
29,655,Andromeda,183
29,670,Clondyke,186
29,685,Galway County,149
29,687,Galway Shire,46
29,695,Lush Fields,161
29,696,Mutant Domain,119
29,710,Omni-1 Trade,189
29,760,4 Holes,172
31,635,Stret East Bank,46
31,655,Andromeda,160
31,670,Clondyke,211
31,685,Galway County,173
31,687,Galway Shire,61
31,695,Lush Fields,164
31,696,Mutant Domain,95
31,710,Omni-1 Trade,178
31,760,4 Holes,162
33,635,Stret East Bank,70
33,655,Andromeda,207
33,670,Clondyke,229
33,685,Galway County,157
33,695,Lush Fields,240
33,696,Mutant Domain,127
33,760,4 Holes,220
37,635,Stret East Bank,66
37,655,Andromeda,236
37,670,Clondyke,214
37,685,Galway County,127
37,695,Lush Fields,245
37,696,Mutant Domain,149
37,760,4 Holes,213
40,635,Stret East Bank,91
40,655,Andromeda,250
40,670,Clondyke,223
40,685,Galway County,117
40,695,Lush Fields,207
40,696,Mutant Domain,137
40,760,4 Holes,225
44,635,Stret East Bank,222
44,655,Andromeda,215
44,670,Clondyke,213
44,685,Galway County,101
44,695,Lush Fields,248
44,696,Mutant Domain,27
44,760,4 Holes,224
48,635,Stret East Bank,253
48,655,Andromeda,247
48,670,Clondyke,209
48,685,Galway County,58
48,695,Lush Fields,261
48,760,4 Holes,222
55,625,Milky Way,198
55,635,Stret East Bank,175
55,655,Andromeda,195
55,670,Clondyke,184
55,685,Galway County,97
55,695,Lush Fields,172
55,696,Mutant Domain,23
55,760,4 Holes,206
66,625,Milky Way,204
66,630,Pleasant Meadows,221
66,635,Stret East Bank,54
66,670,Clondyke,215
66,685,Galway County,230
66,687,Galway Shire,15
66,695,Lush Fields,196
66,696,Mutant Domain,115
