mission_ql,low_id,high_id,observed_item_ql,unknown,item_name,observation_count
4,25820,25821,4,0,Basic Nano Recharger,1
4,26471,26471,14,0,Nano Crystal (Ranged Special Attacks Incompetence),3
4,26489,26489,10,0,Nano Crystal (Nano Skills Incompetence),1
4,26503,26503,14,0,Nano Crystal (Melee Special Attacks Incompetence),2
4,27223,27223,4,0,Nano Crystal (Lethargy),1
4,27381,27381,1,0,Omni-Med Suit Gloves,1
4,27385,27385,1,0,Omni-Med Suit Sleeves,1
4,27387,27387,1,0,Omni-Med Female Suit Shirt,1
4,28751,28751,4,0,Nano Crystal (Team Quick Heal),2
4,28752,28752,10,0,Nano Crystal (Terrain Knowledge),7
4,28767,28767,7,0,Nano Crystal (Doctor's Grace),3
4,28780,28780,7,0,Nano Crystal (Inflict Harm),2
4,28805,28805,4,0,Nano Crystal (Corruption),2
4,28811,28811,7,0,Nano Crystal (Fire Stream),3
4,28814,28814,14,0,Nano Crystal (Hot Feet),1
4,28834,28834,4,0,Nano Crystal (Radiation Pulse),1
4,28836,28836,14,0,Nano Crystal (Shockball),2
4,28932,28932,7,0,Nano Crystal (Give Energy: 10),1
4,28936,28936,7,0,Nano Crystal (Give Life: 10),3
4,28938,28938,14,0,Nano Crystal (Give Life: 25),1
4,28943,28943,4,0,Nano Crystal (Iron Fist),4
4,29192,29192,10,0,Nano Crystal (Symbol Helper),3
4,29823,29823,1,0,Nano Crystal (Armor Megaboost),4
4,29844,29844,10,0,Nano Crystal (Gun Enhancement),1
4,29862,29862,7,0,Nano Crystal (Spike Shield),1
4,30110,30110,10,0,Nano Crystal (Distracted Gaze),2
4,30122,30122,14,0,Nano Crystal (Gunslinger),2
4,30781,30781,10,0,Nano Crystal (Lend Nano: 50),1
4,30790,30790,14,0,Nano Crystal (Margin Call),1
4,31420,31420,14,0,Nano Crystal (Cracker's Luck),2
4,31436,31436,1,0,Nano Crystal (Poison Modification),2
4,31498,31498,1,0,White Cloak,9
4,31499,31499,1,0,Red Cloak,1
4,31500,31500,1,0,Grey Cloak,3
4,31501,31501,1,0,Green Cloak,8
4,31502,31502,1,0,Brown Cloak,6
4,31503,31503,1,0,Blue Cloak,8
4,31504,31504,1,0,Jean Trenchcoat,1
4,31505,31505,1,0,Black Trenchcoat,7
4,31506,31506,1,0,Black Omni-Tek Commander Cloak,3
4,31515,31515,1,0,Red Omni-Tek Commander Cloak,7
4,31516,31516,1,0,Trenchcoat,10
4,31517,31517,1,0,Black Cloak,1
4,31528,31528,1,0,Red Cloak Hood,2
4,31530,31530,1,0,Grey Cloak Hood,3
4,31531,31531,1,0,Green Cloak Hood,1
4,31532,31532,1,0,Brown Cloak Hood,3
4,31533,31533,1,0,Blue Cloak Hood,4
4,31534,31534,1,0,Black Cloak Hood,7
4,32076,32076,14,0,Nano Crystal (False Profession: Martial Artist),2
4,32079,32079,14,0,Nano Crystal (False Profession: Soldier),2
4,32082,32082,10,0,Nano Crystal (False Profession: Enforcer),3
4,36779,36778,4,0,2 - 3 NCU Memory,2
4,36783,36782,4,0,Belt Component Platform Ti-100X,2
4,42412,42412,1,0,Nano Crystal (Enhance Team Health),1
4,42416,42416,14,0,Nano Crystal (Lasting Heal),1
4,42423,42423,4,0,Nano Crystal (Weak Team Heal),2
4,43975,43975,14,0,Nano Crystal (Inferior Cleanse Wounds),3
4,43978,43978,4,0,Nano Crystal (Emergency Stitching),1
4,45965,45965,1,0,Nano Crystal (Minor Toxic Barb),2
4,45966,45966,10,0,Nano Crystal (Minor Toxic Field),2
4,45969,45969,14,0,Nano Crystal (Ion Stream),2
4,46010,46010,10,0,Nano Crystal (Upgraded Automaton),3
4,46040,46040,14,0,Nano Crystal (Perfected Automaton),1
4,46059,46059,4,0,Nano Crystal (Lesser Automaton),2
4,46074,46074,7,0,Nano Crystal (Automaton),5
4,46082,46082,14,0,Nano Crystal (Advanced Automaton),1
4,46454,46454,14,0,Nano Crystal (Director-Grade Worker-Droid),2
4,46462,46462,7,0,Nano Crystal (Advanced Worker),1
4,49823,49823,14,0,Nano Crystal (Brave Challenger to Cyclops),3
4,55679,55678,4,0,Weapon Smithing Tutoring Device,1
4,55683,55682,4,0,Pharma Tech Tutoring Device,3
4,55685,55684,4,0,Nano Programming Tutoring Device,2
4,55687,55686,4,0,Computer Literacy Tutoring Device,1
4,55694,55693,4,0,Electrical Engineering Tutoring Device,4
4,55761,55761,10,0,Nano Crystal (Bristling Shield),1
4,55762,55762,4,0,Nano Crystal (Avenging Shield),1
4,55838,55838,7,0,Nano Crystal (Frost With Snow),3
4,55863,55863,1,0,Nano Crystal (Coat of Barbs),1
4,56003,56003,4,0,Nano Crystal (Lesser Illusory Paralysis),2
4,56178,56178,14,0,Nano Crystal (Feet of Stone),4
4,56238,56238,1,0,Nano Crystal (Detain Suspect),2
4,56266,56266,14,0,Nano Crystal (Lesser Embrace of Greed),1
4,70397,70397,14,0,Nano Crystal (Minor Deflection Shield),3
4,70403,70403,7,0,Nano Crystal (Partial Deflection Shield (Extended)),1
4,70411,70411,10,0,Nano Crystal (Total Mirror Shield Mk I),3
4,70558,85640,4,0,Battered Low-Tech Armor Boots,7
4,70559,85689,4,0,Battered Low-Tech Body Armor,2
4,70560,85688,4,0,Battered Low-Tech Female Body Armor,6
4,70561,85744,4,0,Battered Low-Tech Armor Sleeves,7
4,70562,85597,4,0,Battered Low-Tech Armor Gloves,4
4,70563,85558,4,0,Battered Low-Tech Armor Helmet,9
4,70564,85515,4,0,Battered Low-Tech Armor Pants,6
4,70565,85514,4,0,Battered Low-Tech Armor Shorts,3
4,70577,70577,4,0,Nano Crystal (Greater Armor Megaboost),1
4,70581,70581,14,0,Nano Crystal (Flawed Protective Field),2
4,70582,70582,7,0,Nano Crystal (Flawed Shielding Barrier),2
4,75415,75415,4,0,Nano Crystal (Minor Combat Barrier),2
4,75416,75416,14,0,Nano Crystal (Minor Absorption Shield),3
4,78418,78418,10,0,Nano Crystal (Lossy Health Funnel),1
4,81848,81848,10,0,Nano Crystal (Crash of Thunder),1
4,81952,81952,4,0,Nano Crystal (Lesser Suspicious Death),1
4,81956,81956,14,0,Nano Crystal (Inject Poison),1
4,82071,82071,10,0,Nano Crystal (Lesser Healing Touch),1
4,82188,82188,10,0,Nano Crystal (Mass Daze),2
4,82802,82802,10,0,Nano Crystal (Lesser Nano Net),1
4,82807,82807,14,0,Nano Crystal (Postpone Encounter),1
4,82838,82838,20,0,Nano Crystal (Pronouncement of Greatness),4
4,83920,83919,4,0,Aggression Enhancer,1
4,83984,83984,7,0,Nano Crystal (Claw Eyes),2
4,85273,85273,4,0,Nano Crystal (Basic Insurance Hack),1
4,85279,85279,7,0,Nano Crystal (Passive Distributed Entanglement),1
4,85366,85367,4,0,Simple Nano Kit,1
4,85368,85369,4,0,Burst of Speed Stim,1
