mission_ql,mission_type,mission_icon,offer_count
4,KILL_PERSON,11330,250
4,REPAIR,11342,750
4,RETURN_ITEM,11329,250
5,KILL_PERSON,11330,250
5,REPAIR,11342,750
5,RETURN_ITEM,11329,250
6,KILL_PERSON,11330,250
6,REPAIR,11342,750
6,RETURN_ITEM,11329,250
7,KILL_PERSON,11330,250
7,REPAIR,11342,750
7,RETURN_ITEM,11329,250
8,KILL_PERSON,11330,250
8,REPAIR,11342,750
8,RETURN_ITEM,11329,250
9,KILL_PERSON,11330,250
9,REPAIR,11342,750
9,RETURN_ITEM,11329,250
10,KILL_PERSON,11330,250
10,REPAIR,11342,750
10,RETURN_ITEM,11329,250
12,KILL_PERSON,11330,250
12,REPAIR,11342,750
12,RETURN_ITEM,11329,250
