CapturedUtc,Sequence,SourceIdentity,SourceGeneration,Name,NpcFamily,MonsterData,Level,PlayfieldId,PlayerAttackedFirstWithin30Seconds,PriorPlayerAttackSeconds,NearestNpcPathDeltaSeconds,NearestNpcPathSpanMeters,AttackDistanceMeters
2026-07-22T13:26:39.859235Z,3419,SimpleChar:79891509,1,Violent Protester,103,203740,3,1044525,false,,-2.214946,2.888501,
2026-07-22T13:27:49.840569Z,5915,SimpleChar:7989147B,2,Kneebreaker Alfonzo Rizzolo,137,165196,4,1044525,false,,,,
2026-07-22T13:30:33.787775Z,12237,SimpleChar:7989146B,1,Supreme Collector of Waste,1019,17714,4,1044525,false,,-0.001000,8.086368,9.240783
2026-07-22T13:33:01.646843Z,16239,SimpleChar:798914D0,2,Waste Collector,1019,17714,2,1044525,true,1.089588,0.299185,5.112157,4.969473
2026-07-22T13:33:09.074089Z,16671,SimpleChar:798914E4,5,Waste Collector,1019,17714,2,1044525,true,0.989976,0.280108,4.381942,4.317109
2026-07-22T13:44:04.446763Z,31494,SimpleChar:798915D0,1,Rollerrat,55,17687,6,1044525,true,1.723599,0.237901,8.033111,13.583322
2026-07-22T13:44:24.480282Z,32044,SimpleChar:79891513,1,Rollerrat,55,17687,6,1044525,false,,-1.951248,13.509800,2.580747
2026-07-22T13:45:27.865042Z,34080,SimpleChar:798828FB,1,Desert Reet,53,30365,5,1044525,false,,-2.454371,8.767638,1.283064
2026-07-22T13:45:38.197436Z,34488,SimpleChar:79882AEC,1,Rollerrat,55,17687,5,1044525,true,1.770559,0.119056,9.619123,11.018516
2026-07-22T13:45:58.994541Z,35489,SimpleChar:798828F0,1,Desert Reet,53,30365,6,1044525,false,,-0.000999,23.244410,23.167874
2026-07-22T13:46:00.653502Z,35647,SimpleChar:798828E7,1,Desert Reet,53,30365,6,1044525,false,,-0.000501,16.310992,17.042163
2026-07-22T13:46:01.124262Z,35700,SimpleChar:798828EE,1,Desert Reet,53,30365,5,1044525,false,,0.108562,2.754953,1.582614
2026-07-22T13:46:09.476724Z,35955,SimpleChar:798915E3,2,Lolly the Reet,137,30365,10,1044525,false,,0.000000,7.374062,56.243689
2026-07-22T13:47:10.718240Z,38085,SimpleChar:7989160F,1,Desert Reet,53,30365,6,1044525,false,,,,2.940504
2026-07-22T13:47:42.606767Z,39095,SimpleChar:798915FF,2,Rollerrat,55,17687,6,1044525,false,,-0.002001,15.195432,15.640277
2026-07-22T13:47:56.971938Z,39529,SimpleChar:7988CFD3,2,Rollerrat,55,17687,6,1044525,true,1.736896,0.449765,8.961690,12.980226
2026-07-22T13:48:18.911839Z,40185,SimpleChar:79891150,2,Rollerrat,55,17687,6,1044525,false,,-1.770772,3.665210,1.996012
2026-07-22T13:48:36.309768Z,40624,SimpleChar:798912B7,2,Rollerrat,55,17687,6,1044525,false,,-1.950569,16.438453,3.134859
2026-07-22T13:48:51.028384Z,40853,SimpleChar:798912B5,2,Rollerrat,55,17687,5,1044525,false,,0.120061,14.436322,16.639269
2026-07-22T13:49:03.669091Z,41171,SimpleChar:798912B8,1,Rollerrat,55,17687,6,1044525,false,,0.157080,13.671206,18.747485
2026-07-22T13:49:21.918461Z,41753,SimpleChar:7988CFE0,1,Rollerrat,55,17687,6,1044525,false,,-0.000496,15.057627,17.164151
2026-07-22T13:49:56.613576Z,42775,SimpleChar:7988CFE2,1,Rollerrat,55,17687,5,1044525,false,,-1.760907,12.786412,3.372541
2026-07-22T13:50:39.707410Z,43196,SimpleChar:7989165F,1,Rollerrat,55,17687,5,1044525,false,,-1.760887,9.040199,
2026-07-22T13:52:12.497469Z,43767,SimpleChar:7989165F,1,Rollerrat,55,17687,5,1044525,false,,,,
2026-07-22T13:52:34.387752Z,43890,SimpleChar:79891657,1,Rollerrat,55,17687,5,1044525,false,,-3.871462,18.823384,
2026-07-22T13:58:41.942918Z,52057,SimpleChar:798915E0,2,Cleanmeister Intelligence Robot,1019,297023,2,1044525,true,1.449548,2.333659,3.601713,2.771750
2026-07-22T13:59:59.930833Z,54264,SimpleChar:7989164E,1,Rollerrat,55,17687,6,1044525,false,,0.238665,15.925927,17.042916
2026-07-22T14:00:28.030596Z,55070,SimpleChar:79891663,2,Rollerrat,55,17687,5,1044525,true,2.692612,0.199588,6.258019,12.013700
2026-07-22T14:00:46.558377Z,55680,SimpleChar:79891636,2,Rollerrat,55,17687,5,1044525,false,,-1.762523,15.114274,3.136813
2026-07-22T14:00:50.206240Z,55887,SimpleChar:79891671,2,Gnarl the Roller,55,17687,7,1044525,false,,-1.990753,13.764906,
2026-07-22T14:00:56.433136Z,56009,SimpleChar:79891671,2,Gnarl the Roller,55,17687,7,1044525,false,,,,
2026-07-22T14:01:28.314809Z,56409,SimpleChar:79891714,0,Rollerrat,55,17687,5,1044525,false,,-0.000500,8.366630,
