CapturedUtc,Sequence,SourceIdentity,SourceGeneration,Name,NpcFamily,MonsterData,Level,PlayfieldId,PlayerAttackedFirstWithin30Seconds,PriorPlayerAttackSeconds,NearestNpcPathDeltaSeconds,NearestNpcPathSpanMeters,AttackDistanceMeters
2026-07-22T08:51:58.550123Z,10749,SimpleChar:79666CF1,1,Dockworker,137,26137,3,1044525,true,1.459720,,,2.371769
2026-07-22T08:59:50.156884Z,27013,SimpleChar:7988C8C3,5,Cleaning Robot,1019,297023,1,1044525,true,0.391188,-0.000500,5.113718,5.155609
2026-07-22T09:07:41.911090Z,39969,SimpleChar:7988CA7A,2,Cleaning Robot,1019,297023,1,1044525,true,1.524952,-0.001500,5.634800,5.577253
2026-07-22T09:07:55.584420Z,40862,SimpleChar:7988CAC0,1,Cleaning Robot,1019,297023,1,1044525,true,0.987591,,,2.219287
2026-07-22T09:08:14.498354Z,42087,SimpleChar:7988C914,21,Garbage Flea,25,17657,2,1044525,false,,2.577115,2.086737,15.576482
2026-07-22T09:08:57.345323Z,43507,SimpleChar:7988C8EC,5,Waste Collector,1019,17714,2,1044525,true,2.053213,0.228645,3.906029,5.095265
2026-07-22T09:09:11.864419Z,44100,SimpleChar:7987C6DD,5,Waste Collector,1019,17714,2,1044525,true,1.051570,0.241628,13.510566,15.053001
2026-07-22T09:09:19.091602Z,44538,SimpleChar:7988C810,6,Waste Collector,1019,17714,2,1044525,true,1.365168,0.240120,4.324685,3.689445
2026-07-22T09:09:31.385162Z,44953,SimpleChar:79882C8F,6,Supreme Collector of Waste,1019,17714,4,1044525,false,,-0.001501,3.081183,4.145187
2026-07-22T09:11:18.038690Z,47796,SimpleChar:7988284D,8,32-V Docker,1019,17649,3,1044525,true,1.248599,0.167548,3.995533,5.616638
2026-07-22T09:11:44.938099Z,49154,SimpleChar:79882FFE,5,Waste Collector,1019,17714,2,1044525,true,1.090420,,,1.323975
2026-07-22T09:14:44.190015Z,52544,SimpleChar:7988CB23,1,Garbage Flea,25,17657,1,1044525,false,,-3.254957,8.707378,
2026-07-22T09:14:50.170321Z,52613,SimpleChar:7988CB23,1,Garbage Flea,25,17657,1,1044525,false,,,,
2026-07-22T09:15:42.415473Z,53370,SimpleChar:7988CB23,1,Garbage Flea,25,17657,1,1044525,false,,,,
2026-07-22T09:17:07.611905Z,55821,SimpleChar:7988CADF,1,Waste Collector,1019,17714,2,1044525,true,1.274216,,,2.558337
2026-07-22T09:20:33.965057Z,60201,SimpleChar:7988CAD3,3,Cleanmeister Intelligence Robot,1019,297023,2,1044525,false,,-1.878328,7.699761,0.847455
2026-07-22T09:45:58.071418Z,76704,SimpleChar:7988CACA,4,Cleaning Robot,1019,297023,1,1044525,true,1.393569,,,1.814470
2026-07-22T09:47:48.806112Z,82253,SimpleChar:7988CAFF,2,Waste Collector,1019,17714,2,1044525,false,,,,1.332759
