acgHash,playfield,positionX,positionY,positionZ,officialSpawnRecordId,officialModelReference,archetypeId,associationState
AQUA,6,40.7206916809082,6.83469079376664e-06,34.8729248046875,18.8.62_EP1:1000014:6:district-0:record-0,,,unresolved
FAUN,102,50.0,0.0,50.0,18.8.62_EP1:1000014:102:district-0:record-0,,,unresolved
XEPR,106,832.7367553710938,0.0005867740837857127,34.86153793334961,18.8.62_EP1:1000014:106:district-0:record-0,,,unresolved
XEPR,106,826.8948364257812,0.001531351124867797,34.899871826171875,18.8.62_EP1:1000014:106:district-0:record-1,,,unresolved
BWCM,106,997.2421875,1.4530558586120605,37.83969497680664,18.8.62_EP1:1000014:106:district-0:record-2,,,unresolved
MAGU,106,42.96378707885742,0.39975643157958984,38.51272964477539,18.8.62_EP1:1000014:106:district-0:record-3,,,unresolved
MAGU,106,43.068328857421875,0.3996632397174835,43.61671829223633,18.8.62_EP1:1000014:106:district-0:record-4,,,unresolved
XEPA,106,832.7308959960938,0.17875578999519348,276.84600830078125,18.8.62_EP1:1000014:106:district-0:record-5,,,unresolved
XEPA,106,826.888916015625,0.17966826260089874,276.8843688964844,18.8.62_EP1:1000014:106:district-0:record-6,,,unresolved
CBUT,106,996.1983032226562,1.5000450611114502,278.5868225097656,18.8.62_EP1:1000014:106:district-0:record-7,,,unresolved
XOPT,106,832.5180053710938,0.37558797001838684,436.2641906738281,18.8.62_EP1:1000014:106:district-0:record-8,,,unresolved
XOPT,106,826.6759643554688,0.3765004277229309,436.30255126953125,18.8.62_EP1:1000014:106:district-0:record-9,,,unresolved
OBQD,106,995.8593139648438,1.6911989450454712,440.43328857421875,18.8.62_EP1:1000014:106:district-0:record-10,,,unresolved
BSMF,106,281.7980651855469,1.7824437618255615,760.0120849609375,18.8.62_EP1:1000014:106:district-0:record-11,,,unresolved
LE01,106,345.5018005371094,0.7925323843955994,753.9925537109375,18.8.62_EP1:1000014:106:district-0:record-12,,,unresolved
LE01,106,427.7144470214844,0.2006392627954483,771.4351806640625,18.8.62_EP1:1000014:106:district-0:record-13,,,unresolved
LE01,106,517.357177734375,0.20000888407230377,772.9010009765625,18.8.62_EP1:1000014:106:district-0:record-14,,,unresolved
UXLT,109,99.02435302734375,0.39960038661956787,88.02523040771484,18.8.62_EP1:1000014:109:district-0:record-0,,,unresolved
UXLT,109,99.02435302734375,0.39960038661956787,88.02523040771484,18.8.62_EP1:1000014:109:district-0:record-1,,,unresolved
7QGB,110,102.80000305175781,0.4000000059604645,101.0,18.8.62_EP1:1000014:110:district-0:record-0,,,unresolved
EXDP,111,0.10000000149011612,50.0,199.89999389648438,18.8.62_EP1:1000014:111:district-0:record-0,,,unresolved
EP28,111,0.10000000149011612,50.0,199.89999389648438,18.8.62_EP1:1000014:111:district-0:record-1,,,unresolved
NQ0O,111,0.10000000149011612,50.0,199.89999389648438,18.8.62_EP1:1000014:111:district-0:record-2,,,unresolved
CCUJ,120,194.57403564453125,30.405292510986328,187.33946228027344,18.8.62_EP1:1000014:120:district-0:record-0,,,unresolved
CCUJ,120,198.06381225585938,30.40530776977539,187.95726013183594,18.8.62_EP1:1000014:120:district-0:record-1,,,unresolved
CCUJ,120,201.49612426757812,30.405351638793945,186.61561584472656,18.8.62_EP1:1000014:120:district-0:record-2,,,unresolved
CCUJ,120,168.55128479003906,30.39801025390625,191.06028747558594,18.8.62_EP1:1000014:120:district-0:record-3,,,unresolved
CCUJ,120,173.59750366210938,30.405309677124023,190.8006134033203,18.8.62_EP1:1000014:120:district-0:record-4,,,unresolved
