timestamp,entityId,level,currentHealth,maxHealth,x,y,z,eventType
"2026-06-22T16:24:43.8482506Z","(SimpleChar:78F93451)",1,20,20,54.9106636,14.6018524,107.227386,"spawn"
"2026-06-22T16:24:43.8497602Z","(SimpleChar:78F9343B)",1,20,20,74.7019653,12.9501514,108.08242,"spawn"
"2026-06-22T16:24:43.8497602Z","(SimpleChar:78F93450)",1,20,20,104.698845,13.1702118,93.95853,"spawn"
"2026-06-22T16:24:43.8497602Z","(SimpleChar:78F93429)",200,36434,36434,57.50941,14.01,56.29899,"spawn"
"2026-06-22T16:24:43.8497602Z","(SimpleChar:78F93433)",1,20,20,77.6031647,13.6147079,73.59367,"spawn"
"2026-06-22T16:24:43.8497602Z","(SimpleChar:78F93437)",1,25,25,47.4427872,14.01,64.28072,"spawn"
"2026-06-22T16:24:43.8497602Z","(SimpleChar:78F93428)",1,20,20,56.1422653,14.245225,109.448082,"spawn"
"2026-06-22T16:24:43.8497602Z","(SimpleChar:78F9344D)",1,20,20,54.1839066,14.1164675,73.03639,"spawn"
"2026-06-22T16:24:43.8497602Z","(SimpleChar:78F93447)",1,20,20,49.36567,14.01,69.74105,"spawn"
"2026-06-22T16:24:43.8497602Z","(SimpleChar:78F9342A)",200,36434,36434,65.011055,14.01,50.68658,"spawn"
"2026-06-22T16:24:43.8497602Z","(SimpleChar:78F93443)",1,20,20,82.8686752,13.0380421,77.09253,"spawn"
"2026-06-22T16:24:43.8497602Z","(SimpleChar:78F9343F)",1,20,20,92.59463,17.6559639,114.665779,"spawn"
"2026-06-22T16:24:43.8497602Z","(SimpleChar:78F9344F)",1,20,20,59.2984123,14.01,69.35946,"spawn"
"2026-06-22T16:24:43.8497602Z","(SimpleChar:78F9342F)",1,20,20,99.52353,14.6853142,111.696335,"spawn"
"2026-06-22T16:24:43.8497602Z","(SimpleChar:78F9344A)",1,20,20,105.127426,13.068491,115.749947,"spawn"
"2026-06-22T16:24:46.0571991Z","(SimpleChar:78F93437)",1,25,25,47.4427872,14.01,64.28072,"update"
