mission_ql,playfield_id,playfield_name,offer_count
17,670,Clondyke,635
17,695,Lush Fields,615
18,670,Clondyke,516
18,685,Galway County,157
18,695,Lush Fields,532
18,696,Mutant Domain,45
20,670,Clondyke,534
20,685,Galway County,158
20,695,Lush Fields,493
20,696,Mutant Domain,65
21,670,Clondyke,497
21,685,Galway County,165
21,695,Lush Fields,532
21,696,Mutant Domain,56
22,670,Clondyke,506
22,685,Galway County,173
22,695,Lush Fields,514
22,696,Mutant Domain,57
25,670,Clondyke,524
25,685,Galway County,151
25,695,Lush Fields,536
25,696,Mutant Domain,39
27,635,Stret East Bank,58
27,655,Andromeda,162
27,670,Clondyke,173
27,685,Galway County,148
27,687,Galway Shire,55
27,695,Lush Fields,170
27,696,Mutant Domain,105
27,710,Omni-1 Trade,206
27,760,4 Holes,173
30,635,Stret East Bank,56
30,655,Andromeda,189
30,670,Clondyke,193
30,685,Galway County,136
30,687,Galway Shire,44
30,695,Lush Fields,167
30,696,Mutant Domain,130
30,710,Omni-1 Trade,160
30,760,4 Holes,175
32,635,Stret East Bank,55
32,655,Andromeda,201
32,670,Clondyke,227
32,685,Galway County,158
32,695,Lush Fields,248
32,696,Mutant Domain,131
32,760,4 Holes,230
37,635,Stret East Bank,75
37,655,Andromeda,240
37,670,Clondyke,231
37,685,Galway County,93
37,695,Lush Fields,246
37,696,Mutant Domain,137
37,760,4 Holes,228
44,635,Stret East Bank,246
44,655,Andromeda,218
44,670,Clondyke,199
44,685,Galway County,101
44,695,Lush Fields,215
44,696,Mutant Domain,27
44,760,4 Holes,244
