mission_ql,mission_type,mission_icon,offer_count
17,FIND_ITEM,11337,750
17,FIND_PERSON,11335,250
17,RETURN_ITEM,11329,250
18,FIND_ITEM,11337,750
18,FIND_PERSON,11335,250
18,RETURN_ITEM,11329,250
20,FIND_ITEM,11337,750
20,FIND_PERSON,11335,250
20,RETURN_ITEM,11329,250
21,FIND_ITEM,11337,750
21,FIND_PERSON,11335,250
21,RETURN_ITEM,11329,250
22,FIND_ITEM,11337,750
22,FIND_PERSON,11335,250
22,RETURN_ITEM,11329,250
25,FIND_ITEM,11337,750
25,FIND_PERSON,11335,250
25,RETURN_ITEM,11329,250
27,FIND_ITEM,11337,750
27,FIND_PERSON,11335,250
27,RETURN_ITEM,11329,250
30,FIND_ITEM,11337,750
30,FIND_PERSON,11335,250
30,RETURN_ITEM,11329,250
32,FIND_ITEM,11337,750
32,FIND_PERSON,11335,250
32,RETURN_ITEM,11329,250
37,FIND_ITEM,11337,750
37,FIND_PERSON,11335,250
37,RETURN_ITEM,11329,250
44,FIND_ITEM,11337,750
44,FIND_PERSON,11335,250
44,RETURN_ITEM,11329,250
