session_id,mission_ql,difficulty_position,repair_offers,return_item_offers,kill_person_offers,events_sha256
mission-20260903T031944878Z-29212150-25d46d31,17,1,3,1,1,599e2e726418a872b7b4d3a98c68f5d47a56c1c2464083a4bf28adc84f6e30f4
mission-20260903T031951758Z-29212150-8d57b478,18,2,3,1,1,d2007d4ec718d53e3aa83da1d3cedd01e096900a0cfe862b88195134b00809ee
mission-20260903T031959023Z-29212150-58517235,20,3,3,1,1,05a7625030c421884f3e25704bc692f97d28b712e67f06a96788afe148733b5e
mission-20260903T032005098Z-29212150-1ffb7cb1,21,4,3,1,1,2f9baf8385ea577a61f3cf5fadfb5ef61339bb230fda4d45d034fb45042ce7b8
mission-20260903T032013035Z-29212150-df1b8e4a,22,5,3,1,1,65d8f99d6cb4884053cde0e3df110a7566bbe3a935dac232c66b10afa0bb1510
mission-20260903T032018475Z-29212150-e77527d3,25,6,3,1,1,72a846b27342bd01eb5bc4a69a5a03395086958064bd8b02db549b0cba0ac92e
mission-20260903T032023572Z-29212150-db043862,27,7,3,1,1,b06d253ad49cf8318146fa85fd6d8f94b19fbcaf3db21adb7350146f99b38485
mission-20260903T032036945Z-29212150-dbb059f8,30,8,3,1,1,c3013b941ab9513f6fffa802d68ddc9cfc24dec1b9f3e3f35cf21edf063e2bd2
mission-20260903T032045514Z-29212150-a7ab31a5,32,9,3,1,1,bc9d426d3e7becf3c02378fc3340d30593dd8afe484ebbb777c72a415ed1427c
mission-20260903T032050733Z-29212150-5c4400fc,37,10,3,1,1,8ac62f69868d1531fb8a2313de3475aa72eed0b4bf189802c3f78993672e4c6a
mission-20260903T032056348Z-29212150-0923eb4c,44,11,3,1,1,450f79ce5151cb1fe4517cb08db28d748cfc249332ebfb9a9ea586ac4727112d
