"CapturedUtc","Sequence","TerminalIdentity","StatelId","TemplateId","TerminalName","Role","Slot","LowId","LowName","HighId","HighName","Quality","LowHighKey"
"2026-06-11T02:47:29.0145592Z","5121","(VendingMachine:12E38D1B)","135004160","297459","ICC Ammunition","Optional comparison","0","266845","Antivehicle Rockets","266845","Antivehicle Rockets","1","266845:266845"
"2026-06-11T02:47:29.0145592Z","5121","(VendingMachine:12E38D1B)","135004160","297459","ICC Ammunition","Optional comparison","1","125219","Arrows","125219","Arrows","1","125219:125219"
"2026-06-11T02:47:29.0145592Z","5121","(VendingMachine:12E38D1B)","135004160","297459","ICC Ammunition","Optional comparison","2","273501","Box of Arrows","273501","Box of Arrows","1","273501:273501"
"2026-06-11T02:47:29.0145592Z","5121","(VendingMachine:12E38D1B)","135004160","297459","ICC Ammunition","Optional comparison","3","273496","Box of Bullets","273496","Box of Bullets","1","273496:273496"
"2026-06-11T02:47:29.0145592Z","5121","(VendingMachine:12E38D1B)","135004160","297459","ICC Ammunition","Optional comparison","4","273502","Box of Energy Weapon Ammo","273502","Box of Energy Weapon Ammo","1","273502:273502"
"2026-06-11T02:47:29.0145592Z","5121","(VendingMachine:12E38D1B)","135004160","297459","ICC Ammunition","Optional comparison","5","273503","Box of Flamethrower Ammunition","273503","Box of Flamethrower Ammunition","1","273503:273503"
"2026-06-11T02:47:29.0145592Z","5121","(VendingMachine:12E38D1B)","135004160","297459","ICC Ammunition","Optional comparison","6","273504","Box of Launcher Grenades","273504","Box of Launcher Grenades","1","273504:273504"
"2026-06-11T02:47:29.0145592Z","5121","(VendingMachine:12E38D1B)","135004160","297459","ICC Ammunition","Optional comparison","7","273500","Box of Shotgun Shells","273500","Box of Shotgun Shells","1","273500:273500"
"2026-06-11T02:47:29.0145592Z","5121","(VendingMachine:12E38D1B)","135004160","297459","ICC Ammunition","Optional comparison","8","21605","Bullets","21605","Bullets","1","21605:21605"
"2026-06-11T02:47:29.0145592Z","5121","(VendingMachine:12E38D1B)","135004160","297459","ICC Ammunition","Optional comparison","9","21609","Energy Weapon Ammo","21609","Energy Weapon Ammo","1","21609:21609"
"2026-06-11T02:47:29.0145592Z","5121","(VendingMachine:12E38D1B)","135004160","297459","ICC Ammunition","Optional comparison","10","21601","Flamethrower Ammunition","21601","Flamethrower Ammunition","1","21601:21601"
"2026-06-11T02:47:29.0145592Z","5121","(VendingMachine:12E38D1B)","135004160","297459","ICC Ammunition","Optional comparison","11","126757","Launcher Grenades","126757","Launcher Grenades","1","126757:126757"
"2026-06-11T02:47:29.0145592Z","5121","(VendingMachine:12E38D1B)","135004160","297459","ICC Ammunition","Optional comparison","12","21613","Shotgun Shells","21613","Shotgun Shells","1","21613:21613"
"2026-06-11T02:47:32.6819062Z","5145","(VendingMachine:12E38D1C)","135004161","297466","ICC Martial Arts Attacks","Optional comparison","0","70608","Angel of Night","70607","Angel of Night","36","70608:70607"
"2026-06-11T02:47:32.6819062Z","5145","(VendingMachine:12E38D1C)","135004161","297466","ICC Martial Arts Attacks","Optional comparison","1","70608","Angel of Night","70607","Angel of Night","60","70608:70607"
"2026-06-11T02:47:32.6819062Z","5145","(VendingMachine:12E38D1C)","135004161","297466","ICC Martial Arts Attacks","Optional comparison","2","70608","Angel of Night","70607","Angel of Night","75","70608:70607"
"2026-06-11T02:47:32.6819062Z","5145","(VendingMachine:12E38D1C)","135004161","297466","ICC Martial Arts Attacks","Optional comparison","3","70608","Angel of Night","70607","Angel of Night","94","70608:70607"
"2026-06-11T02:47:32.6819062Z","5145","(VendingMachine:12E38D1C)","135004161","297466","ICC Martial Arts Attacks","Optional comparison","4","70608","Angel of Night","70607","Angel of Night","121","70608:70607"
"2026-06-11T02:47:32.6819062Z","5145","(VendingMachine:12E38D1C)","135004161","297466","ICC Martial Arts Attacks","Optional comparison","5","70608","Angel of Night","70607","Angel of Night","128","70608:70607"
