mission_ql,low_id,high_id,observed_item_ql,unknown,item_name,observation_count
1,26471,26471,14,0,Nano Crystal (Ranged Special Attacks Incompetence),1
1,26489,26489,10,0,Nano Crystal (Nano Skills Incompetence),1
1,26503,26503,14,0,Nano Crystal (Melee Special Attacks Incompetence),1
1,26541,26541,10,0,Nano Crystal (Drain Abilities),3
1,27199,27199,10,0,Nano Crystal (Melee Weapons Incompetence),2
1,27382,27382,1,0,Omni-Med Suit Boots,2
1,27383,27383,1,0,Omni-Med Suit Shirt,1
1,27385,27385,1,0,Omni-Med Suit Sleeves,2
1,27386,27386,1,0,Omni-Med Suit Trousers,1
1,27387,27387,1,0,Omni-Med Female Suit Shirt,2
1,28751,28751,4,0,Nano Crystal (Team Quick Heal),2
1,28752,28752,10,0,Nano Crystal (Terrain Knowledge),2
1,28767,28767,7,0,Nano Crystal (Doctor's Grace),3
1,28804,28804,10,0,Nano Crystal (Corrosive Spray),2
1,28805,28805,4,0,Nano Crystal (Corruption),1
1,28811,28811,7,0,Nano Crystal (Fire Stream),1
1,28834,28834,4,0,Nano Crystal (Radiation Pulse),2
1,28932,28932,7,0,Nano Crystal (Give Energy: 10),3
1,28936,28936,7,0,Nano Crystal (Give Life: 10),3
1,28943,28943,4,0,Nano Crystal (Iron Fist),6
1,29192,29192,10,0,Nano Crystal (Symbol Helper),2
1,29823,29823,1,0,Nano Crystal (Armor Megaboost),5
1,29844,29844,10,0,Nano Crystal (Gun Enhancement),1
1,29862,29862,7,0,Nano Crystal (Spike Shield),3
1,30110,30110,10,0,Nano Crystal (Distracted Gaze),2
1,30781,30781,10,0,Nano Crystal (Lend Nano: 50),6
1,31498,31498,1,0,White Cloak,1
1,31499,31499,1,0,Red Cloak,6
1,31500,31500,1,0,Grey Cloak,4
1,31501,31501,1,0,Green Cloak,2
1,31502,31502,1,0,Brown Cloak,9
1,31503,31503,1,0,Blue Cloak,2
1,31504,31504,1,0,Jean Trenchcoat,1
1,31505,31505,1,0,Black Trenchcoat,4
1,31506,31506,1,0,Black Omni-Tek Commander Cloak,3
1,31515,31515,1,0,Red Omni-Tek Commander Cloak,6
1,31516,31516,1,0,Trenchcoat,4
1,31517,31517,1,0,Black Cloak,7
1,31528,31528,1,0,Red Cloak Hood,4
1,31530,31530,1,0,Grey Cloak Hood,5
1,31531,31531,1,0,Green Cloak Hood,7
1,31532,31532,1,0,Brown Cloak Hood,8
1,31533,31533,1,0,Blue Cloak Hood,4
