case_id,step,time_ms,source,npc,target,distance,attack_range,attack_kind,event,expected_state,expected_action,packet_evidence
official_melee_chase,1,0,official-live-20260529-212034,50000:788DA3B8,50000:77E458F5,14.2,8.0,melee,add_threat,Aggroed,AddThreat,Attack echo starts mob retaliation
official_melee_chase,2,120,official-live-20260529-212034,50000:788DA3B8,50000:77E458F5,14.2,8.0,melee,target_valid,Chasing,FollowCoordinatePath,FollowTarget len56 coordinate chase header 00 01 19 02
official_melee_chase,3,620,official-live-20260529-212034,50000:788DA3B8,50000:77E458F5,7.6,8.0,melee,target_valid,MeleeAttackingWhileMoving,AttackWithoutStop,Melee in range does not require StopMovingCmd
official_melee_chase,4,950,official-live-20260529-212034,50000:788DA3B8,50000:77E458F5,9.8,8.0,melee,target_valid,Chasing,FollowCoordinatePath,Player moved out of range so NPC keeps chasing
official_melee_chase,5,1200,official-live-20260529-212034,50000:788DA3B8,50000:77E458F5,9.8,8.0,melee,player_stopfight,Chasing,PreserveAggro,Live StopFight for player did not clear mob retaliation
private_loot_melee_window,1,0,private-server-loot-20260510-223530,50000:000F66D9,50000:000F725A,0.0,8.0,melee,attack_info,MeleeAttackingWhileMoving,AttackWithoutStop,AttackInfo pkt176 t63.482 id 50000:000F66D9 target 50000:000F725A damage 14
private_loot_melee_window,2,2295,private-server-loot-20260510-223530,50000:000F66D9,50000:000F725A,12.374,8.0,melee,coordinate_follow,Chasing,FollowCoordinatePath,FollowTarget pkt192 t65.777 size56 unk1 mode25 count2 start 952.332 40.005 746.296 end 940.003 40.005 745.245
private_loot_melee_window,3,2606,private-server-loot-20260510-223530,50000:000F66D9,50000:000F725A,11.385,8.0,melee,coordinate_follow,Chasing,FollowCoordinatePath,FollowTarget pkt198 t66.088 size56 unk1 mode25 count2
private_loot_melee_window,4,3567,private-server-loot-20260510-223530,50000:000F66D9,50000:000F725A,6.327,8.0,melee,coordinate_follow,Chasing,FollowCoordinatePath,FollowTarget pkt206 t67.049 size56 unk1 mode25 count2
private_loot_melee_window,5,3979,private-server-loot-20260510-223530,50000:000F66D9,50000:000F725A,0.0,8.0,melee,hard_correction,Chasing,CapturedPositionCorrection,FollowTarget type2 pkt208 t67.461 size68 unk0 move21 stop settle
private_loot_melee_window,6,4319,private-server-loot-20260510-223530,50000:000F66D9,50000:000F725A,4.451,8.0,melee,coordinate_follow,Chasing,FollowCoordinatePath,FollowTarget pkt210 t67.801 size56 unk1 mode25 count2
private_loot_melee_window,7,4418,private-server-loot-20260510-223530,50000:000F66D9,50000:000F725A,0.0,8.0,melee,hard_correction,Chasing,CapturedPositionCorrection,FollowTarget type2 pkt212 t67.900 size68 unk0 move21 stop settle
private_loot_melee_window,8,6347,private-server-loot-20260510-223530,50000:000F66D9,50000:000F725A,4.474,8.0,melee,coordinate_follow,Chasing,FollowCoordinatePath,FollowTarget pkt230 t69.829 size56 unk1 mode25 count2
private_loot_melee_window,9,6455,private-server-loot-20260510-223530,50000:000F66D9,50000:000F725A,0.0,8.0,melee,hard_correction,Chasing,CapturedPositionCorrection,FollowTarget type2 pkt232 t69.937 size68 unk0 move21 stop settle
official_correction,1,0,official-live-20260529-212034,50000:788DA3BD,50000:7766D54A,18.0,8.0,melee,add_threat,Aggroed,AddThreat,Player attack at 21:42:48.539 starts focused Leet chase
official_correction,2,100,official-live-20260529-212034,50000:788DA3BD,50000:7766D54A,18.0,8.0,melee,target_valid,Chasing,FollowCoordinatePath,Focused target sent coordinate FollowTarget mode24 then mode25 repaths
official_correction,3,650,official-live-20260529-212034,50000:788DA3BD,50000:7766D54A,18.0,8.0,melee,hard_correction,Chasing,CapturedPositionCorrection,Official target sample shows short type2 position correction only: unk0 move25 u1=0 u2=0 u3=0x40000000 coord tail00
ranged_stop,1,0,contract-fixture,50000:00000099,50000:00000012,24.0,20.0,ranged,add_threat,Aggroed,AddThreat,Ranged test starts with threat
ranged_stop,2,100,contract-fixture,50000:00000099,50000:00000012,24.0,20.0,ranged,target_valid,Chasing,FollowCoordinatePath,Ranged target outside range still chases
ranged_stop,3,500,contract-fixture,50000:00000099,50000:00000012,18.0,20.0,ranged,target_valid,RangedStopAndAttack,StopAndAttack,Ranged in range should stop before attacking
ranged_stop,4,900,contract-fixture,50000:00000099,50000:00000012,23.0,20.0,ranged,target_valid,Chasing,FollowCoordinatePath,Ranged target leaves range so chase resumes
target_lost,1,0,contract-fixture,50000:00000077,50000:00000012,5.0,8.0,melee,add_threat,Aggroed,AddThreat,Target exists
target_lost,2,100,contract-fixture,50000:00000077,50000:00000012,5.0,8.0,melee,target_invalid,Idle,ClearTarget,Only invalid target death zone or hate wipe clears chase in this fixture
