mission_ql,low_id,high_id,observed_item_ql,unknown,item_name,observation_count
9,25812,25811,9,0,Treatment Laboratory,1
9,26471,26471,14,0,Nano Crystal (Ranged Special Attacks Incompetence),1
9,26489,26489,10,0,Nano Crystal (Nano Skills Incompetence),3
9,26541,26541,10,0,Nano Crystal (Drain Abilities),1
9,27199,27199,10,0,Nano Crystal (Melee Weapons Incompetence),3
9,27223,27223,4,0,Nano Crystal (Lethargy),2
9,27263,27263,10,0,Nano Crystal (Ranged Weapons Incompetence),1
9,27381,27381,1,0,Omni-Med Suit Gloves,1
9,27382,27382,1,0,Omni-Med Suit Boots,1
9,27385,27385,1,0,Omni-Med Suit Sleeves,1
9,27387,27387,1,0,Omni-Med Female Suit Shirt,2
9,28751,28751,4,0,Nano Crystal (Team Quick Heal),2
9,28752,28752,10,0,Nano Crystal (Terrain Knowledge),3
9,28767,28767,7,0,Nano Crystal (Doctor's Grace),3
9,28770,28770,14,0,Nano Crystal (Enhanced First Aid),1
9,28811,28811,7,0,Nano Crystal (Fire Stream),1
9,28834,28834,4,0,Nano Crystal (Radiation Pulse),2
9,28836,28836,14,0,Nano Crystal (Shockball),1
9,28932,28932,7,0,Nano Crystal (Give Energy: 10),1
9,28936,28936,7,0,Nano Crystal (Give Life: 10),3
9,28943,28943,4,0,Nano Crystal (Iron Fist),2
9,28945,28945,17,0,Nano Crystal (Limbo Mastery),2
9,29192,29192,10,0,Nano Crystal (Symbol Helper),1
9,29356,29356,17,0,Nano Crystal (Persistent Damage Multiplier),1
9,29360,29360,17,0,Nano Crystal (Quickshot),1
9,29844,29844,10,0,Nano Crystal (Gun Enhancement),2
9,29862,29862,7,0,Nano Crystal (Spike Shield),2
9,30122,30122,14,0,Nano Crystal (Gunslinger),2
9,30781,30781,10,0,Nano Crystal (Lend Nano: 50),2
9,30790,30790,14,0,Nano Crystal (Margin Call),1
9,31436,31436,1,0,Nano Crystal (Poison Modification),1
9,31498,31498,1,0,White Cloak,3
9,31499,31499,1,0,Red Cloak,2
9,31500,31500,1,0,Grey Cloak,5
9,31501,31501,1,0,Green Cloak,1
9,31502,31502,1,0,Brown Cloak,5
9,31503,31503,1,0,Blue Cloak,5
9,31505,31505,1,0,Black Trenchcoat,6
9,31506,31506,1,0,Black Omni-Tek Commander Cloak,3
9,31515,31515,1,0,Red Omni-Tek Commander Cloak,5
9,31516,31516,1,0,Trenchcoat,1
9,31517,31517,1,0,Black Cloak,3
9,31528,31528,1,0,Red Cloak Hood,3
9,31530,31530,1,0,Grey Cloak Hood,2
9,31531,31531,1,0,Green Cloak Hood,6
9,31532,31532,1,0,Brown Cloak Hood,2
9,31533,31533,1,0,Blue Cloak Hood,3
9,31534,31534,1,0,Black Cloak Hood,6
9,32071,32071,17,0,Nano Crystal (False Profession: Adventurer),2
9,32076,32076,14,0,Nano Crystal (False Profession: Martial Artist),2
9,32079,32079,14,0,Nano Crystal (False Profession: Soldier),2
9,32082,32082,10,0,Nano Crystal (False Profession: Enforcer),3
9,36779,36778,9,0,2 - 3 NCU Memory,1
9,36783,36782,9,0,Belt Component Platform Ti-100X,1
9,42412,42412,1,0,Nano Crystal (Enhance Team Health),1
9,42416,42416,14,0,Nano Crystal (Lasting Heal),2
9,43552,43551,9,0,Portable Surgery Clinic,1
9,43780,43780,14,0,Nano Crystal (Summon Fury Externalization),1
9,43993,43993,10,0,Nano Crystal (Dress Wounds),3
9,44189,44189,7,0,Nano Crystal (Limited Nano Reaper),1
9,44195,44195,17,0,Nano Crystal (Protein Breakdown),1
9,45956,45956,7,0,Nano Crystal (Open Wound),1
9,45965,45965,1,0,Nano Crystal (Minor Toxic Barb),1
9,45966,45966,10,0,Nano Crystal (Minor Toxic Field),2
9,46040,46040,14,0,Nano Crystal (Perfected Automaton),1
9,46059,46059,4,0,Nano Crystal (Lesser Automaton),1
9,46074,46074,7,0,Nano Crystal (Automaton),1
