"Playfield","PlayfieldName","ComputedVendorId","StatelInstanceHex","StatelTemplateId","Coords","HasVendorRow","VendorHash","VendorTemplateItem","ActiveShopItems","CoverageExcluded","ExclusionReason","Issues"
"346","ACD Omnilab (dng)","22675456","0xC000015A","155225","73,10.01,385","False","","-1","0","True","NonShopStatelTemplate","no vendors row; runtime spawns empty statel vendor"
"500","Parnassos","32768000","0xC00001F4","99571","215.737,16.4,162.412","False","","-1","0","False","","no vendors row; runtime spawns empty statel vendor"
"500","Parnassos","32768001","0xC00101F4","99599","214.427,16.4,162.485","False","","-1","0","False","","no vendors row; runtime spawns empty statel vendor"
"500","Parnassos","32768002","0xC00201F4","99635","211.938,16.4,162.399","False","","-1","0","False","","no vendors row; runtime spawns empty statel vendor"
"500","Parnassos","32768003","0xC00301F4","99575","217.069,16.4,162.746","True","MedA","99575","99","False","",""
"500","Parnassos","32768004","0xC00401F4","99573","213.139,16.4,162.472","True","ICCSpWA","99573","30","False","",""
"500","Parnassos","32768005","0xC00501F4","99570","211.355,16.4,160.109","False","","-1","0","False","","no vendors row; runtime spawns empty statel vendor"
"500","Parnassos","32768006","0xC00601F4","99602","212.2,16.4,159.505","True","AtkB","99602","8","False","",""
"500","Parnassos","32768007","0xC00701F4","99598","214.657,16.4,159.581","False","","-1","0","False","","no vendors row; runtime spawns empty statel vendor"
"500","Parnassos","32768008","0xC00801F4","99574","215.858,16.4,159.648","True","MedB","99574","99","False","",""
"500","Parnassos","32768009","0xC00901F4","118287","217.19,16.4,159.708","False","","-1","0","False","","no vendors row; runtime spawns empty statel vendor"
"500","Parnassos","32768010","0xC00A01F4","99601","211.295,16.4,161.41","True","ToolB","99601","22","False","",""
"500","Parnassos","32768011","0xC00B01F4","99600","213.404,16.4,159.507","False","","-1","0","False","","no vendors row; runtime spawns empty statel vendor"
"500","Parnassos","32768012","0xC00C01F4","99572","217.917,16.4,160.724","True","ICCSpWB","99572","31","False","",""
"500","Parnassos","32768013","0xC00D01F4","117938","217.822,16.4,161.884","False","","-1","0","False","","no vendors row; runtime spawns empty statel vendor"
"500","Parnassos","32768014","0xC00E01F4","99503","219.649,16.4,160.128","False","","-1","0","False","","no vendors row; runtime spawns empty statel vendor"
"500","Parnassos","32768015","0xC00F01F4","99533","220.751,16.4,160.499","False","","-1","0","False","","no vendors row; runtime spawns empty statel vendor"
"500","Parnassos","32768016","0xC01001F4","99517","221.824,16.4,160.883","False","","-1","0","False","","no vendors row; runtime spawns empty statel vendor"
"500","Parnassos","32768017","0xC01101F4","99541","222.913,16.4,161.281","False","","-1","0","False","","no vendors row; runtime spawns empty statel vendor"
"500","Parnassos","32768018","0xC01201F4","99509","224.031,16.4,161.614","False","","-1","0","False","","no vendors row; runtime spawns empty statel vendor"
"500","Parnassos","32768019","0xC01301F4","118285","225.127,16.4,161.93","True","ANCC","118285","255","False","",""
"500","Parnassos","32768020","0xC01401F4","99528","226.065,16.4,161.447","False","","-1","0","False","","no vendors row; runtime spawns empty statel vendor"
