mission_ql,playfield_id,playfield_name,offer_count
24,545,West Athens,34
24,550,Athen Shire,285
24,790,Stret West Bank,254
24,791,Holes in the Wall,257
24,795,The Longest Road,225
24,800,Borealis,195
26,545,West Athens,28
26,550,Athen Shire,272
26,790,Stret West Bank,233
26,791,Holes in the Wall,261
26,795,The Longest Road,247
26,800,Borealis,209
28,550,Athen Shire,275
28,790,Stret West Bank,272
28,791,Holes in the Wall,260
28,795,The Longest Road,293
28,800,Borealis,150
29,550,Athen Shire,246
29,790,Stret West Bank,287
29,791,Holes in the Wall,252
29,795,The Longest Road,259
29,800,Borealis,206
31,550,Athen Shire,247
31,790,Stret West Bank,244
31,791,Holes in the Wall,285
31,795,The Longest Road,277
31,800,Borealis,197
35,550,Athen Shire,281
35,790,Stret West Bank,245
35,791,Holes in the Wall,262
35,795,The Longest Road,265
35,800,Borealis,197
38,545,West Athens,27
38,550,Athen Shire,303
38,585,Aegean,112
38,790,Stret West Bank,283
38,791,Holes in the Wall,277
38,795,The Longest Road,248
42,545,West Athens,26
42,550,Athen Shire,291
42,585,Aegean,106
42,790,Stret West Bank,305
42,791,Holes in the Wall,261
42,795,The Longest Road,261
45,545,West Athens,167
45,550,Athen Shire,236
45,551,Wailing Wastes,236
45,585,Aegean,157
45,790,Stret West Bank,207
45,791,Holes in the Wall,21
45,795,The Longest Road,226
52,551,Wailing Wastes,226
52,585,Aegean,213
52,586,Wartorn Valley,31
52,650,Upper Stret East Bank,71
52,760,4 Holes,230
52,790,Stret West Bank,228
52,795,The Longest Road,251
62,551,Wailing Wastes,236
62,585,Aegean,246
62,586,Wartorn Valley,30
62,600,Varmint Woods,17
62,635,Stret East Bank,23
62,650,Upper Stret East Bank,127
62,760,4 Holes,237
62,790,Stret West Bank,96
62,795,The Longest Road,238
