mission_ql,low_id,high_id,observed_item_ql,unknown,item_name,observation_count
24,25812,25811,24,0,Treatment Laboratory,2
24,26471,26471,14,0,Nano Crystal (Ranged Special Attacks Incompetence),4
24,26503,26503,14,0,Nano Crystal (Melee Special Attacks Incompetence),5
24,27382,27382,1,0,Omni-Med Suit Boots,2
24,27384,27384,1,0,Omni-Med Suit Skirt,1
24,27387,27387,1,0,Omni-Med Female Suit Shirt,3
24,27805,27805,24,0,Nano Crystal (Blood Circle),1
24,28753,28753,24,0,Nano Crystal (Bind Wounds),1
24,28770,28770,14,0,Nano Crystal (Enhanced First Aid),1
24,28789,28789,30,0,Nano Crystal (Superior Healing),2
24,28795,28795,33,0,Nano Crystal (Abyssal Flames),2
24,28810,28810,27,0,Nano Crystal (Fire Snake),2
24,28814,28814,14,0,Nano Crystal (Hot Feet),1
24,28917,28917,24,0,Nano Crystal (Bad Blood),1
24,28938,28938,14,0,Nano Crystal (Give Life: 25),1
24,28945,28945,17,0,Nano Crystal (Limbo Mastery),2
24,28950,28950,20,0,Nano Crystal (Muscle Stim),2
24,29103,29103,33,0,Nano Crystal (Apprentice: Pharmaceuticals),1
24,29195,29195,20,0,Nano Crystal (Crowbar Subtlety),1
24,29333,29333,27,0,Nano Crystal (Attack Booster),1
24,29358,29358,24,0,Nano Crystal (Pistol Mastery),6
24,29360,29360,17,0,Nano Crystal (Quickshot),1
24,29806,29806,30,0,Nano Crystal (Headcracker),2
24,30122,30122,14,0,Nano Crystal (Gunslinger),1
24,30759,30759,30,0,Nano Crystal (Apprentice: Mechanical Engineering),1
24,30771,30771,20,0,Nano Crystal (Frequent Customer),1
24,31419,31419,27,0,Nano Crystal (Contact Poison),1
24,31420,31420,14,0,Nano Crystal (Cracker's Luck),1
24,31422,31422,27,0,Nano Crystal (Embrace of Shadows),1
24,31498,31498,1,0,White Cloak,3
24,31499,31499,1,0,Red Cloak,1
24,31500,31500,1,0,Grey Cloak,2
24,31501,31501,1,0,Green Cloak,1
24,31502,31502,1,0,Brown Cloak,2
24,31503,31503,1,0,Blue Cloak,3
24,31505,31505,1,0,Black Trenchcoat,4
24,31506,31506,1,0,Black Omni-Tek Commander Cloak,1
24,31515,31515,1,0,Red Omni-Tek Commander Cloak,2
24,31516,31516,1,0,Trenchcoat,3
24,31517,31517,1,0,Black Cloak,1
