mission_ql,mission_type,mission_icon,offer_count
24,FIND_ITEM,11337,750
24,FIND_PERSON,11335,250
24,RETURN_ITEM,11329,250
26,FIND_ITEM,11337,750
26,FIND_PERSON,11335,250
26,RETURN_ITEM,11329,250
28,FIND_ITEM,11337,750
28,FIND_PERSON,11335,250
28,RETURN_ITEM,11329,250
29,FIND_ITEM,11337,750
29,FIND_PERSON,11335,250
29,RETURN_ITEM,11329,250
31,FIND_ITEM,11337,750
31,FIND_PERSON,11335,250
31,RETURN_ITEM,11329,250
35,FIND_ITEM,11337,750
35,FIND_PERSON,11335,250
35,RETURN_ITEM,11329,250
38,FIND_ITEM,11337,750
38,FIND_PERSON,11335,250
38,RETURN_ITEM,11329,250
42,FIND_ITEM,11337,750
42,FIND_PERSON,11335,250
42,RETURN_ITEM,11329,250
45,FIND_ITEM,11337,750
45,FIND_PERSON,11335,250
45,RETURN_ITEM,11329,250
52,FIND_ITEM,11337,750
52,FIND_PERSON,11335,250
52,RETURN_ITEM,11329,250
62,FIND_ITEM,11337,750
62,FIND_PERSON,11335,250
62,RETURN_ITEM,11329,250
